
Step(*): 0, t: 0, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step(*): 240, t: 0.351562, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 241, t: 0.353027, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 242, t: 0.354492, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 243, t: 0.355957, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 244, t: 0.357422, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 245, t: 0.358887, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 246, t: 0.360352, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 247, t: 0.361816, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 248, t: 0.363281, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 249, t: 0.364746, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 250, t: 0.366211, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

